"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reqres API Tests","0","User Management","2","0","Update User","0"
"0","Reqres API Tests","0","Resource Management","7","0","Get Resource","0"
"0","Reqres API Tests","0","User Management","4","0","Get User","0"
"0","Reqres API Tests","0","Auth management","2","0","Auth User login","0"
"0","Reqres API Tests","0","Auth management","2","0","Auth User register","0"
"0","Reqres API Tests","0","User Management","1","0","Delete User","0"
"0","Reqres API Tests","0","Delayed response","1","0","Get delayed","0"
"0","Reqres API Tests","0","User Management","1","0","Create User","0"
