"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Api tests","0","","6","0","Post response","0"
"0","Api tests","0","User Management","5","0","Get response","0"
"0","Api tests","0","User Management","1","0","Patch response","0"
"0","Api tests","0","Mixed tests that are being executed via Rest Assured and Selenium","0","0","Tests on Selenium","1"
"0","Api tests","0","User Management","1","0","Put response","0"
"0","Api tests","0","","5","0","Get response","0"
"0","Api tests","0","","1","0","Patch response","0"
"0","Api tests","0","User Management","4","0","Post response","0"
"0","Api tests","0","User Management","1","0","Delete response","0"
"0","Api tests","0","","1","0","Delete response","0"
"0","Api tests","0","","1","0","Put response","0"
