"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","tests version Sergey","0","","7","0","Get response","0"
"0","tests version Margarita","0","User Management","5","0","Get response","0"
"0","tests version Diana","0","","6","0","Post response","0"
"0","tests version Sergey","0","","5","0","Post response","0"
"0","tests version Dima","0","","14","0","Rest Assured tests","0"
"0","tests version Dima","0","Rest Assured tests with @Factory","4","0","Parameterized tests","0"
"0","tests version Margarita","0","User Management","1","0","Patch response","0"
"0","tests version Dima","0","Mixed tests that are being executed via Rest Assured and Selenium","1","0","Rest Assured tests","0"
"0","tests version Diana","0","","5","0","Get response","0"
"0","tests version Margarita","0","User Management","4","0","Post response","0"
"0","Api tests version Roman","0","Get Api","4","0","Get response","0"
"0","tests version Dima","0","","5","0","Parameterized tests","0"
"0","tests version Sergey","0","","1","0","Put response","0"
"0","tests version Margarita","0","User Management","1","0","Delete response","0"
"0","tests version Dima","1","Mixed tests that are being executed via Rest Assured and Selenium","1","0","Tests on Selenium","0"
"0","tests version Diana","0","","1","0","Put response","0"
"0","tests version Diana","0","","1","0","Patch response","0"
"0","Api tests version Roman","0","Post Api","1","0","Post response","0"
"1","tests version Sergey","0","","0","0","Patch response","0"
"0","tests version Sergey","0","","1","0","Delete response","0"
"0","tests version Diana","0","","1","0","Delete response","0"
"0","tests version Margarita","0","User Management","1","0","Put response","0"
